playerID,yearID,lgID,POS,gold_glove
ruizjo01,2017,NL,P,1
ortegra01,2019,NL,OF,1
kimha01,2021,NL,SS,1
ogradbr01,2019,NL,OF,1
popza01,2022,AL,P,1
collmjo01,2015,NL,P,1
phillbr02,2017,NL,OF,1
heanean01,2022,NL,P,1
jacksau01,2016,AL,OF,1
lylesjo01,2023,AL,P,1
hillaa01,2017,NL,3B,1
bardda01,2022,NL,P,1
roech01,2020,AL,P,1
tarplst01,2018,AL,P,1
willima08,2017,NL,OF,1
marteke01,2015,AL,SS,1
carlesh01,2017,NL,P,1
harvema01,2016,NL,P,1
guzmaje01,2014,AL,3B,1
hurshja01,2017,NL,P,1
margoma01,2021,AL,OF,1
aguilje01,2021,NL,3B,1
naylojo01,2020,NL,OF,1
criswco01,2021,AL,P,1
saladty01,2017,AL,3B,1
blevije01,2018,NL,P,1
gennesc01,2016,NL,2B,1
burdiza01,2021,AL,P,2
lobatjo01,2017,NL,C,1
sogarer01,2019,AL,SS,1
vendipa01,2020,NL,P,1
barreaa01,2015,NL,P,1
finnebr01,2017,NL,P,1
hearnta01,2019,AL,P,1
wendejb01,2016,AL,P,1
kintzbr01,2018,NL,P,2
evansph01,2020,NL,3B,1
mccutan01,2016,NL,OF,1
yateski01,2014,AL,P,1
biancje01,2014,NL,SS,1
butleed01,2017,NL,P,1
trejoal01,2022,NL,SS,1
santada01,2016,AL,2B,1
alcanra01,2016,AL,P,1
escobed01,2014,AL,3B,1
kuhlch01,2017,NL,P,1
barmecl01,2015,NL,1B,1
bryankr01,2018,NL,1B,1
sadleca02,2018,NL,P,1
nerishe01,2015,NL,P,1
perezhe01,2019,NL,1B,1
alcaljo01,2019,AL,P,1
birdgr01,2015,AL,1B,1
martest01,2016,NL,OF,1
caratvi01,2018,NL,3B,1
ramirno01,2019,AL,P,1
bournmi01,2015,AL,OF,1
perdoge01,2022,NL,SS,1
pinedmi01,2014,AL,P,1
krameke01,2019,NL,2B,1
rivasal01,2023,NL,OF,1
mariomi01,2015,AL,P,1
bregmal01,2017,AL,3B,1
arenano01,2020,NL,3B,1
bryankr01,2019,NL,3B,1
colemdu01,2017,NL,SS,1
parkeja03,2016,NL,OF,1
whitlch01,2017,AL,P,1
diazal02,2017,NL,OF,1
diekmja01,2018,AL,P,1
melviti01,2017,NL,P,1
vasquan02,2022,AL,P,1
dejesiv02,2016,NL,3B,1
hoernni01,2021,NL,OF,1
goforda01,2016,NL,P,1
fraziad01,2017,NL,SS,1
contrro01,2023,NL,P,1
stratch01,2017,NL,P,1
ohlmami01,2017,AL,C,1
schoojo01,2017,AL,SS,1
mooredy01,2021,AL,OF,1
smithjo05,2018,AL,P,1
myerswi01,2019,NL,3B,1
wolteto01,2019,NL,3B,1
ceccosl01,2023,NL,P,1
rojasmi02,2015,NL,3B,1
garciri01,2020,NL,P,1
tuivasa01,2015,NL,P,1
jankotr01,2020,NL,OF,1
margeni01,2019,NL,P,1
pressry01,2018,AL,P,2
segedro01,2016,NL,1B,1
hutchdr01,2016,NL,P,1
hicksjo03,2023,NL,P,1
delacjo01,2016,NL,P,1
heisech01,2015,NL,OF,1
schoojo01,2022,AL,1B,1
rendoan01,2021,AL,3B,1
doziehu01,2020,AL,OF,1
latosma01,2016,AL,P,1
sanchca01,2017,AL,OF,1
ventuyo01,2015,AL,P,1
mazzach01,2019,NL,P,1
lindad01,2017,NL,1B,1
alvaryo01,2022,AL,OF,1
claudal01,2019,NL,P,1
carltdr01,2023,NL,P,1
yastrmi01,2022,NL,OF,1
alfarjo01,2021,NL,OF,1
baderha01,2019,NL,OF,1
bauerja01,2019,AL,1B,1
tayloty01,2023,NL,OF,1
dietrde01,2014,NL,2B,1
zimmebr01,2017,AL,OF,1
walkech02,2017,NL,1B,1
florewi01,2016,NL,SS,1
fiersmi01,2015,NL,P,1
wislema01,2021,NL,P,1
tauchmi01,2021,NL,P,1
gausmke01,2015,AL,P,1
molinya01,2021,NL,1B,1
schwaky01,2018,NL,OF,1
wilsoju10,2021,AL,P,1
watkilo01,2014,NL,OF,1
olivehe01,2015,NL,3B,1
bethach01,2022,AL,1B,2
caminar01,2016,NL,P,1
frankni01,2015,AL,SS,1
acunaro01,2023,NL,OF,1
mcguide02,2018,AL,P,2
oteroda01,2016,AL,P,1
santade01,2019,NL,P,1
abadfe01,2017,AL,P,1
harrijo05,2020,NL,1B,1
ramirjo01,2015,AL,3B,1
beckhgo01,2016,NL,2B,1
matzst01,2018,NL,P,1
stephty01,2023,NL,C,1
bandaan01,2021,NL,P,2
jenkich01,2015,AL,P,1
rondojo02,2019,AL,3B,2
medinyo01,2014,AL,P,1
lucrojo01,2015,NL,C,1
gregelu01,2016,AL,P,1
fraziad01,2017,NL,OF,1
gordoni01,2023,AL,2B,1
mailelu01,2023,NL,C,1
schwifr01,2019,AL,1B,1
reyesvi01,2021,AL,OF,1
giolilu01,2018,AL,P,1
harvejo01,2020,NL,P,1
sadzeco01,2019,AL,P,1
adriaeh01,2020,AL,P,1
clemeer01,2023,AL,SS,1
barneda02,2018,AL,P,1
griffaj01,2016,AL,P,1
lylesjo01,2018,NL,P,2
thomaal01,2022,NL,OF,1
warreau01,2022,AL,P,1
montemi01,2017,NL,1B,1
dubonma01,2022,NL,OF,1
outmaja01,2023,NL,OF,1
marksju01,2014,AL,P,1
walteza01,2014,NL,OF,1
castidi02,2022,NL,2B,1
roberlu01,2020,AL,OF,1
goldspa01,2020,NL,1B,1
youngch04,2018,AL,OF,1
ariasga01,2023,AL,1B,1
stratch01,2021,NL,P,1
profaju01,2020,NL,OF,1
woodtr01,2015,NL,P,1
weemsjo01,2023,NL,P,1
housetj01,2015,AL,P,1
watsoto01,2018,NL,P,1
duffety01,2016,AL,P,1
frankse01,2020,AL,P,1
mejiaal01,2017,NL,3B,1
arraelu01,2020,AL,2B,1
chatwty01,2016,NL,P,1
gordode01,2022,NL,OF,1
josepdo01,2014,AL,P,1
rodriwa01,2015,AL,P,1
schafjo02,2014,NL,OF,1
barneja01,2017,NL,P,1
gordode01,2018,AL,SS,1
benoijo01,2015,NL,P,1
gonzama01,2022,AL,3B,1
kottage01,2014,NL,C,1
knappan01,2018,NL,1B,1
hampsga01,2021,NL,3B,1
vazquch01,2016,AL,C,1
rominan01,2016,AL,2B,1
suerowa01,2023,NL,P,1
hamilia01,2022,AL,P,1
paredis01,2022,AL,SS,1
finneky01,2020,NL,P,1
kiermke01,2018,AL,OF,1
choiji01,2018,NL,1B,1
halldl01,2023,AL,P,1
guerrju02,2017,NL,P,1
beckch02,2016,AL,P,1
mckinza01,2021,NL,OF,1
castrha01,2022,AL,1B,1
allengr01,2019,AL,OF,1
torrejo02,2017,NL,P,1
leybado01,2019,NL,SS,1
beckhti01,2022,AL,1B,1
ventuyo01,2016,AL,P,1
mccutan01,2017,NL,OF,1
wongko01,2018,NL,2B,1
tholejo01,2015,AL,C,1
escobed01,2016,AL,SS,1
raburry01,2015,AL,P,1
schwaky01,2019,NL,OF,1
petitgr01,2018,AL,2B,1
pireljo01,2014,AL,2B,1
actonga01,2023,AL,P,1
moranco01,2021,NL,1B,1
wislema01,2015,NL,P,1
parrian01,2014,AL,SS,1
chacijh01,2022,NL,P,1
bourqja01,2019,NL,P,1
diazis01,2021,NL,3B,1
sanomi01,2017,AL,1B,1
sandopa01,2019,NL,3B,1
willilu01,2023,NL,P,1
tovarez01,2023,NL,SS,1
willide03,2021,NL,P,1
gutiefr01,2017,NL,OF,1
aranovi01,2022,NL,P,1
bettial01,2021,NL,P,1
grossro01,2021,AL,OF,1
hawkila01,2015,NL,P,1
phillev01,2018,AL,P,1
urenari01,2019,AL,OF,1
bourjpe01,2016,NL,OF,1
francma02,2020,AL,3B,1
berropr01,2023,AL,P,1
cobbal01,2020,AL,P,1
pindebr01,2015,AL,P,1
mckinza01,2021,NL,2B,1
hosmeer01,2023,NL,1B,1
neusesh01,2022,AL,P,1
mayermi01,2018,NL,P,1
reckean01,2017,NL,C,1
mchugco01,2023,NL,P,1
winkeje01,2023,NL,OF,1
contrwi01,2021,NL,3B,1
hechaad01,2018,AL,SS,2
sandsje01,2015,AL,1B,1
gibauia01,2021,AL,P,1
aguilje01,2020,NL,3B,1
crowaa01,2014,AL,P,1
castrda01,2016,NL,2B,1
espinsa01,2021,AL,3B,1
boydma01,2019,AL,P,1
braulst01,2018,NL,P,1
flahery01,2016,AL,1B,1
leybado01,2021,AL,3B,1
wisdopa01,2020,NL,1B,1
doolise01,2014,AL,P,1
sandeph01,2022,AL,P,1
farmeky01,2018,NL,3B,1
garnedu01,2021,AL,C,1
davisja03,2021,NL,OF,1
fraleja01,2020,AL,OF,1
ingrako01,2023,AL,P,1
kellyjo05,2021,NL,P,1
maybica01,2018,AL,OF,1
leclejo01,2020,AL,P,1
peralda01,2023,NL,OF,1
garcija01,2015,NL,P,1
sucreje01,2016,AL,C,1
fiersmi01,2017,AL,P,1
hembrhe01,2022,NL,P,2
lawribr01,2014,AL,2B,1
quackke01,2016,NL,P,1
bournmi01,2014,AL,OF,1
arrieja01,2016,NL,P,1
santada01,2019,AL,OF,1
paredji01,2014,AL,2B,2
mendeyo01,2017,AL,P,1
beckhgo01,2016,NL,SS,1
paulsbe01,2015,NL,1B,1
workmbr01,2020,AL,P,1
bettich01,2019,NL,P,1
kellydo01,2014,AL,OF,1
finnebr01,2015,AL,P,1
wadety01,2021,AL,OF,1
crickky01,2017,NL,P,1
darnelo01,2014,AL,P,1
machije01,2014,NL,P,1
mancitr01,2017,AL,OF,1
riverre01,2021,NL,C,1
butleed01,2015,NL,P,1
castrro01,2022,NL,SS,1
espinpa01,2020,NL,P,1
gibsoky01,2023,AL,P,1
nerishe01,2021,NL,P,1
jayjo02,2018,NL,OF,1
nicasju01,2016,NL,P,1
scherma01,2015,NL,P,1
strahma01,2021,NL,P,1
romansa01,2019,NL,P,1
bailepa01,2023,NL,C,1
riverem01,2022,AL,3B,1
fletcda02,2023,AL,2B,1
canhama01,2015,AL,3B,1
muncyma01,2016,AL,OF,1
zobribe01,2018,NL,OF,1
fernaju01,2022,NL,P,2
andruel01,2014,AL,SS,1
peralda01,2017,NL,OF,1
aybarer01,2014,AL,SS,1
grandcu01,2014,NL,OF,1
mcneije01,2018,NL,2B,1
boshebu01,2019,AL,P,1
bednada01,2022,NL,P,1
gimench01,2018,NL,C,1
seageco01,2023,AL,SS,1
perezsa02,2017,AL,C,1
moorema02,2023,AL,P,2
stewach02,2019,AL,OF,1
wheelza01,2023,NL,P,1
nunezda01,2021,NL,P,1
stewach02,2020,AL,OF,1
swishni01,2014,AL,OF,1
montafr01,2022,AL,P,2
hallma02,2019,AL,P,1
knehrre01,2021,NL,P,1
vieirth01,2018,AL,P,1
machaan02,2017,AL,P,1
weemsjo01,2021,NL,P,1
allenco01,2014,AL,P,1
floripe01,2017,NL,3B,1
heredgu01,2019,AL,OF,1
almonab01,2020,NL,OF,1
bloomwi01,2014,AL,SS,1
biebesh01,2022,AL,P,1
riverya01,2019,NL,3B,1
willilu01,2022,NL,1B,1
donovbr01,2023,NL,2B,1
flaaja01,2021,NL,P,1
lugose01,2021,NL,P,1
rosared01,2017,AL,OF,1
fieldjo03,2017,NL,P,1
kohlwta01,2023,NL,OF,1
castrwi01,2022,AL,3B,1
sanmare01,2021,NL,P,1
rossty01,2015,NL,P,1
hernaca04,2023,AL,P,1
kellemi03,2020,NL,P,1
bakerjo01,2014,NL,P,1
phillbr02,2020,AL,OF,2
hillisa01,2021,NL,OF,1
taylomi02,2015,NL,OF,1
weaveje02,2015,AL,P,1
ramosaj01,2015,NL,P,1
valaipa01,2020,AL,SS,1
syndeno01,2023,NL,P,1
davisch02,2016,AL,OF,1
moranbr01,2022,AL,P,1
peralsa01,2023,AL,P,1
happja01,2015,AL,P,1
kremede01,2023,AL,P,1
willije02,2014,AL,P,2
gracema02,2016,NL,P,1
diazju03,2016,NL,P,1
freemmi01,2019,AL,3B,1
weissgr01,2022,AL,P,1
wieckbr01,2020,NL,P,1
woodrbr01,2017,NL,P,1
cecchga02,2016,NL,SS,1
rossda01,2016,NL,C,1
baezja01,2014,NL,2B,1
cabreed02,2022,NL,P,1
ahmedni01,2016,NL,SS,1
carpema01,2015,NL,1B,1
francje01,2014,AL,P,2
medlekr01,2015,AL,P,1
ondrulo01,2016,AL,P,1
torrero01,2018,AL,2B,1
krugeja01,2021,AL,C,1
lakeju01,2016,AL,OF,1
lawreju01,2021,NL,P,1
romansa01,2020,NL,P,1
mileywa01,2023,NL,P,1
sanabca01,2020,AL,P,1
sippto01,2014,AL,P,1
cartech02,2014,AL,OF,1
rojasjo03,2023,NL,OF,1
blancan01,2017,NL,SS,1
minteaj01,2022,NL,P,1
morgaad01,2020,NL,P,1
suzukic01,2015,NL,OF,1
uribeju01,2016,AL,3B,1
naquity01,2023,AL,OF,1
adriaeh01,2019,AL,1B,1
espinsa01,2020,AL,P,1
acunaro01,2021,NL,OF,1
pompeda01,2018,AL,OF,1
brighja01,2015,NL,P,1
hillri01,2022,AL,P,1
profaju01,2017,AL,3B,1
rojasmi02,2014,NL,2B,1
sanchca01,2019,AL,2B,1
roberda08,2021,AL,P,1
storedr01,2015,NL,P,1
mengdda01,2019,AL,P,1
robindr01,2018,AL,2B,1
suareal01,2017,NL,P,1
mapledi01,2018,NL,P,1
jimenjo02,2019,AL,P,1
caveja01,2020,AL,OF,1
hernago01,2017,NL,OF,1
minormi01,2018,AL,P,1
milonto01,2014,AL,P,2
lintz01,2020,AL,OF,1
mckinza01,2022,NL,2B,2
parsowe01,2018,NL,P,1
herrejo04,2022,NL,C,1
machivi01,2020,AL,2B,1
merriwh01,2017,AL,2B,1
novaiv01,2018,NL,P,1
stanery01,2019,AL,P,1
gonzama01,2014,AL,2B,1
henslda01,2023,AL,3B,1
wietema01,2015,AL,1B,1
riosed01,2019,NL,OF,1
trejoal01,2023,NL,P,1
kellyty01,2017,NL,3B,1
bruceja01,2018,NL,OF,1
johnspi01,2018,NL,P,1
givenmy01,2021,NL,P,2
pressry01,2022,AL,P,1
neideni01,2020,NL,P,1
espinsa01,2020,AL,SS,1
milneho01,2018,NL,P,1
montera01,2020,AL,P,1
langesh01,2022,AL,C,1
forsylo01,2015,AL,1B,1
gamelbe01,2023,NL,OF,1
harrijo05,2021,AL,OF,1
kellyty01,2016,NL,3B,1
rileyau01,2021,NL,OF,1
wendljo01,2018,AL,OF,1
willini01,2018,NL,OF,1
morelch01,2022,NL,2B,1
barneda01,2015,NL,SS,1
perezma02,2016,AL,P,1
holdeco01,2022,NL,P,2
perezju02,2014,NL,OF,1
anderni01,2020,AL,P,1
mcclash01,2023,AL,P,1
castijo03,2022,NL,P,1
morofma01,2018,NL,SS,1
aluja01,2023,NL,OF,1
vazquch01,2022,AL,C,2
ryanjo04,2021,AL,P,1
friedtj01,2022,NL,OF,1
phelpda01,2017,AL,P,1
rengilu01,2023,AL,2B,1
bowmama01,2016,NL,P,1
chacijh01,2014,NL,P,1
kimbrcr01,2017,AL,P,1
francwa01,2023,AL,SS,1
mccanbr01,2014,AL,C,1
floydga01,2014,NL,P,1
padloke01,2022,AL,1B,1
hearnta01,2023,NL,P,1
maytr01,2023,AL,P,1
barlosc01,2019,AL,P,1
pierzaj01,2016,NL,C,1
segurje01,2021,NL,2B,1
willilu01,2022,NL,2B,1
plouftr01,2018,NL,OF,1
quinnro01,2022,AL,OF,1
smithdo02,2020,NL,OF,1
lamboan01,2014,NL,1B,1
hoskirh01,2017,NL,1B,1
rivasal01,2021,NL,OF,1
kershcl01,2018,NL,P,1
lintz01,2017,AL,3B,1
marisja01,2021,NL,OF,2
polloaj01,2021,NL,OF,1
loupaa01,2014,AL,P,1
solissa01,2018,NL,P,1
tonkimi01,2015,AL,P,1
mancitr01,2021,AL,1B,1
piscost01,2015,NL,1B,1
murphdo01,2014,AL,3B,1
rondohe01,2014,NL,P,1
payamjo01,2020,NL,P,1
perezro02,2020,AL,C,1
dixonbr01,2023,NL,P,1
daviskh01,2018,AL,OF,1
cortene01,2018,AL,P,1
gennesc01,2017,NL,2B,1
salech01,2021,AL,P,1
boteda01,2018,NL,3B,1
reyespa01,2023,AL,P,1
bleieri01,2020,AL,P,1
grandya01,2016,NL,C,1
martich02,2023,AL,P,1
stromma01,2015,AL,P,1
gonzagi01,2020,AL,P,1
marrede01,2019,NL,3B,1
galvifr01,2014,NL,3B,1
gurrilo01,2023,NL,OF,1
mooredy01,2019,AL,P,1
morrilo01,2014,AL,OF,1
stantmi03,2018,AL,OF,1
margeni01,2021,AL,P,1
triggan01,2016,AL,P,1
williau01,2019,NL,P,1
hollagr01,2019,NL,P,1
garcima01,2022,AL,SS,1
abadfe01,2021,AL,P,1
adriaeh01,2014,NL,3B,1
freemty01,2023,AL,SS,1
alvarpe01,2014,NL,3B,1
goudeas01,2021,NL,P,2
scahiro01,2015,NL,P,1
strichu01,2018,NL,P,1
vasquan02,2022,NL,P,1
yacabji01,2022,NL,P,1
holadbr01,2016,AL,P,1
jepseke01,2015,AL,P,2
millebr02,2018,NL,1B,1
leybado01,2021,NL,3B,1
solarya01,2019,NL,SS,1
vierlma01,2023,AL,2B,1
meadoau01,2019,AL,OF,1
infanom01,2015,AL,2B,1
herrero02,2019,NL,3B,1
harpebr03,2020,NL,OF,1
kratzer01,2016,NL,C,1
molinya01,2019,NL,C,1
urshegi01,2018,AL,SS,1
holtty01,2016,NL,OF,1
fraleja01,2022,NL,OF,1
diamosc01,2016,AL,P,1
huffsa01,2023,AL,1B,1
wangwe01,2014,NL,P,1
garcigr01,2018,NL,P,1
rojasmi02,2014,NL,OF,1
cessalu01,2018,AL,P,1
stevean01,2023,AL,OF,1
lowena01,2021,AL,1B,1
plutkad01,2020,AL,P,1
harrijo05,2023,NL,2B,1
newmake01,2023,NL,1B,1
farnsky01,2014,AL,P,1
richatr01,2023,AL,P,1
siscoch01,2018,AL,C,1
knehrre01,2022,NL,P,1
borucry01,2023,NL,P,1
hernaen02,2022,AL,SS,1
devench02,2021,NL,P,1
lockean01,2020,AL,P,1
bartjo01,2022,NL,C,1
profaju01,2018,AL,2B,1
knappan01,2021,NL,2B,1
cavalca01,2022,NL,P,1
sheetga01,2022,AL,OF,1
garcigr01,2018,NL,2B,1
ruizes01,2022,NL,OF,2
chapmar01,2021,AL,P,1
ngoepgi01,2018,AL,2B,1
parisky01,2023,AL,SS,1
leonsa01,2016,AL,C,1
bradfch02,2018,AL,P,1
coleaj01,2017,NL,P,1
avilemi01,2016,AL,SS,1
casteni01,2019,NL,OF,1
hagerja01,2022,NL,P,1
kochma01,2019,NL,P,1
mazzavi01,2015,NL,P,1
morofma01,2017,NL,SS,1
estrath01,2020,AL,3B,1
fowlede01,2014,AL,OF,1
lopezir01,2023,NL,3B,1
negrokr01,2017,NL,1B,1
phamth01,2017,NL,OF,1
roech01,2016,AL,P,1
rominan01,2020,AL,SS,1
vinceni01,2016,AL,P,1
webbty01,2018,NL,P,2
agrazda01,2019,NL,P,1
smithjo08,2019,AL,P,1
clarkta01,2021,NL,P,1
beninan01,2022,AL,OF,2
dudalu01,2018,NL,1B,1
shortza01,2021,AL,3B,1
castidi01,2018,AL,P,1
mancitr01,2022,AL,1B,2
moustmi01,2020,NL,2B,1
morelch01,2023,NL,OF,1
riosed01,2023,NL,3B,1
wadety01,2023,AL,3B,1
davisch02,2014,AL,1B,1
maldoma01,2019,NL,C,1
pettijo02,2014,NL,P,1
beckhti01,2022,AL,OF,1
brachbr01,2019,NL,P,2
ponceco01,2021,NL,P,1
lecursa01,2015,NL,P,1
darnatr01,2016,NL,C,1
reyespa01,2018,NL,OF,1
aguilje01,2017,NL,3B,1
chaveje01,2014,AL,P,1
guyerbr01,2017,AL,OF,1
bellch02,2018,AL,P,1
warrear01,2022,NL,P,1
santado01,2017,NL,OF,1
kahnlto01,2022,NL,P,1
rickajo01,2016,AL,OF,1
zimmery01,2016,NL,1B,1
walkech02,2018,NL,OF,1
buschmi02,2023,NL,2B,1
napolmi01,2017,AL,1B,1
goldspa01,2016,NL,1B,1
hernada02,2019,AL,P,1
thielca01,2021,AL,P,1
roberda10,2019,AL,SS,1
gorzeto01,2014,NL,P,1
alcanar01,2017,NL,SS,1
obergsc01,2019,NL,P,1
colege01,2023,AL,P,1
bumgama01,2017,NL,P,1
diazya01,2022,AL,1B,1
holloga01,2022,NL,P,1
ramirjo01,2019,AL,3B,1
frankni01,2017,AL,2B,1
speasal01,2023,AL,P,1
wrighst01,2019,AL,P,1
bryankr01,2015,NL,3B,1
alcansa01,2020,NL,P,1
givenmy01,2019,AL,P,1
hamelco01,2016,AL,P,1
parrage01,2019,NL,1B,1
pindech01,2019,AL,2B,1
baezja01,2014,NL,SS,1
feldmsc01,2017,NL,P,1
herrmch01,2014,AL,C,1
whelake01,2014,AL,P,1
florewi01,2014,NL,SS,1
browntr01,2016,NL,3B,1
peralfr01,2021,NL,P,1
palacri01,2022,AL,2B,1
storytr01,2023,AL,2B,1
vinceza01,2017,NL,SS,1
fuentjo01,2021,NL,P,1
solompe01,2023,NL,P,1
sanmare01,2022,NL,P,1
hechaad01,2016,NL,SS,1
adriaeh01,2014,NL,2B,1
pindech01,2017,AL,2B,1
aguilje01,2019,AL,1B,1
romakja01,2014,NL,OF,1
pimenst01,2014,NL,P,1
martini02,2018,AL,OF,1
zeidjo01,2014,AL,P,1
kingesc01,2018,NL,3B,1
bettsmo01,2023,NL,SS,1
flahery01,2014,AL,3B,1
villajo01,2022,NL,2B,1
garciav01,2023,NL,OF,1
amarial01,2014,NL,3B,1
webbda01,2014,AL,P,1
gonzama01,2016,AL,1B,1
jenseky01,2016,NL,1B,1
sullibr01,2023,NL,C,1
swihabl01,2019,NL,1B,1
iglesjo01,2021,AL,SS,2
gourryu01,2016,AL,3B,1
severlu01,2015,AL,P,1
varshda01,2022,NL,C,1
winklda01,2015,NL,P,1
